image_name,slice_index,keep
image_0000005_crop_0000001.png,1,1
image_0000005_crop_0000001.png,2,1
image_0000005_crop_0000001.png,3,1
image_0000005_crop_0000002.png,1,1
image_0000005_crop_0000002.png,2,1
image_0000005_crop_0000002.png,3,1
image_0000034_crop_0000001.png,1,1
image_0000034_crop_0000001.png,2,1
image_0000034_crop_0000001.png,3,1
image_0000034_crop_0000001.png,4,1
image_0000034_crop_0000002.png,1,1
image_0000034_crop_0000002.png,2,1
image_0000046_crop_0000001.png,1,1
image_0000046_crop_0000001.png,2,0
image_0000046_crop_0000001.png,3,1
image_0000050_crop_0000001.png,1,1
image_0000050_crop_0000001.png,2,0
image_0000050_crop_0000001.png,3,1
image_0000052_crop_0000001.png,1,1
image_0000052_crop_0000001.png,2,1
image_0000052_crop_0000001.png,3,1
image_0000077_crop_0000001.png,1,1
image_0000077_crop_0000001.png,2,1
image_0000083_crop_0000001.png,1,1
image_0000083_crop_0000001.png,2,0
image_0000083_crop_0000001.png,3,0
image_0000085_crop_0000001.png,1,0
image_0000085_crop_0000001.png,2,0
image_0000088_crop_0000001.png,1,1
image_0000088_crop_0000001.png,2,1
image_0000088_crop_0000001.png,3,1
image_0000088_crop_0000002.png,1,1
image_0000088_crop_0000002.png,2,1
image_0000088_crop_0000002.png,3,1
image_0000110_crop_0000001.png,1,1
image_0000110_crop_0000001.png,2,1
image_0000110_crop_0000001.png,3,0
image_0000118_crop_0000001.png,1,1
image_0000118_crop_0000001.png,2,1
image_0000118_crop_0000002.png,1,1
image_0000118_crop_0000002.png,2,1
image_0000118_crop_0000003.png,1,1
image_0000118_crop_0000003.png,2,1
image_0000121_crop_0000001.png,1,0
image_0000121_crop_0000001.png,2,0
image_0000121_crop_0000001.png,3,1
image_0000121_crop_0000001.png,4,1
image_0000125_crop_0000001.png,1,1
image_0000125_crop_0000001.png,2,1
image_0000127_crop_0000001.png,1,1
image_0000127_crop_0000001.png,2,1
image_0000127_crop_0000001.png,3,1
image_0000127_crop_0000001.png,4,1
image_0000127_crop_0000001.png,5,1
image_0000127_crop_0000002.png,1,1
image_0000127_crop_0000002.png,2,1
image_0000136_crop_0000001.png,1,1
image_0000136_crop_0000001.png,2,1
image_0000136_crop_0000001.png,3,1
image_0000136_crop_0000001.png,4,1
image_0000136_crop_0000001.png,5,1
image_0000150_crop_0000001.png,1,1
image_0000150_crop_0000001.png,2,1
image_0000150_crop_0000001.png,3,1
image_0000150_crop_0000001.png,4,1
image_0000150_crop_0000003.png,1,1
image_0000150_crop_0000003.png,2,1
image_0000153_crop_0000001.png,1,1
image_0000153_crop_0000001.png,2,1
image_0000159_crop_0000001.png,1,1
image_0000159_crop_0000001.png,2,1
image_0000160_crop_0000001.png,1,1
image_0000160_crop_0000001.png,2,1
image_0000160_crop_0000002.png,1,1
image_0000160_crop_0000002.png,2,1
image_0000164_crop_0000001.png,1,1
image_0000164_crop_0000001.png,2,0
image_0000164_crop_0000002.png,1,1
image_0000164_crop_0000002.png,2,1
image_0000164_crop_0000003.png,1,1
image_0000164_crop_0000003.png,2,1
image_0000169_crop_0000001.png,1,1
image_0000169_crop_0000001.png,2,1
image_0000173_crop_0000001.png,1,1
image_0000173_crop_0000001.png,2,1
image_0000173_crop_0000001.png,3,1
image_0000173_crop_0000001.png,4,1
image_0000180_crop_0000001.png,1,0
image_0000180_crop_0000001.png,2,0
image_0000180_crop_0000001.png,3,0
image_0000180_crop_0000001.png,4,0
image_0000180_crop_0000001.png,5,0
image_0000181_crop_0000001.png,1,1
image_0000181_crop_0000001.png,2,1
image_0000181_crop_0000001.png,3,1
image_0000181_crop_0000001.png,4,1
image_0000181_crop_0000002.png,1,0
image_0000181_crop_0000002.png,2,0
image_0000181_crop_0000002.png,3,0
image_0000181_crop_0000002.png,4,0
image_0000181_crop_0000002.png,5,0
image_0000181_crop_0000002.png,6,1
image_0000181_crop_0000002.png,7,0
image_0000181_crop_0000002.png,8,0
image_0000188_crop_0000001.png,1,1
image_0000188_crop_0000001.png,2,1
image_0000192_crop_0000004.png,1,1
image_0000192_crop_0000004.png,2,1
image_0000192_crop_0000005.png,1,1
image_0000192_crop_0000005.png,2,1
image_0000192_crop_0000005.png,3,1
image_0000192_crop_0000006.png,1,1
image_0000192_crop_0000006.png,2,1
image_0000192_crop_0000006.png,3,1
image_0000192_crop_0000006.png,4,1
image_0000192_crop_0000007.png,1,1
image_0000192_crop_0000007.png,2,1
image_0000192_crop_0000007.png,3,1
image_0000198_crop_0000001.png,1,1
image_0000198_crop_0000001.png,2,0
image_0000198_crop_0000001.png,3,0
image_0000198_crop_0000001.png,4,0
image_0000198_crop_0000002.png,1,1
image_0000198_crop_0000002.png,2,1
image_0000198_crop_0000002.png,3,1
image_0000198_crop_0000002.png,4,0
image_0000198_crop_0000002.png,5,0
image_0000198_crop_0000002.png,6,0
image_0000207_crop_0000001.png,1,1
image_0000207_crop_0000001.png,2,1
image_0000210_crop_0000001.png,1,0
image_0000210_crop_0000001.png,2,1
image_0000210_crop_0000001.png,3,0
image_0000210_crop_0000002.png,1,1
image_0000210_crop_0000002.png,2,1
image_0000211_crop_0000008.png,1,0
image_0000211_crop_0000008.png,2,0
image_0000219_crop_0000001.png,1,1
image_0000219_crop_0000001.png,2,1
image_0000222_crop_0000001.png,1,1
image_0000222_crop_0000001.png,2,1
image_0000227_crop_0000001.png,1,0
image_0000227_crop_0000001.png,2,0
image_0000227_crop_0000001.png,3,0
image_0000238_crop_0000001.png,1,0
image_0000238_crop_0000001.png,2,0
image_0000238_crop_0000001.png,3,0
image_0000238_crop_0000001.png,4,0
image_0000238_crop_0000001.png,5,0
image_0000238_crop_0000001.png,6,0
image_0000238_crop_0000001.png,7,0
image_0000238_crop_0000001.png,8,0
image_0000246_crop_0000001.png,1,1
image_0000246_crop_0000001.png,2,1
image_0000246_crop_0000001.png,3,1
image_0000246_crop_0000001.png,4,1
image_0000246_crop_0000001.png,5,1
image_0000246_crop_0000001.png,6,1
image_0000246_crop_0000001.png,7,1
image_0000246_crop_0000001.png,8,1
image_0000246_crop_0000001.png,9,1
image_0000246_crop_0000001.png,10,1
image_0000246_crop_0000001.png,11,1
image_0000246_crop_0000001.png,12,1
image_0000248_crop_0000001.png,1,1
image_0000248_crop_0000001.png,2,1
image_0000248_crop_0000001.png,3,1
image_0000248_crop_0000001.png,4,1
image_0000252_crop_0000002.png,1,1
image_0000252_crop_0000002.png,2,1
image_0000254_crop_0000001.png,1,1
image_0000254_crop_0000001.png,2,1
image_0000271_crop_0000002.png,1,1
image_0000271_crop_0000002.png,2,1
image_0000271_crop_0000002.png,3,1
image_0000272_crop_0000001.png,1,1
image_0000272_crop_0000001.png,2,1
image_0000272_crop_0000009.png,1,1
image_0000272_crop_0000009.png,2,1
image_0000281_crop_0000001.png,1,0
image_0000281_crop_0000001.png,2,1
image_0000281_crop_0000001.png,3,1
image_0000284_crop_0000001.png,1,0
image_0000284_crop_0000001.png,2,0
image_0000284_crop_0000002.png,1,0
image_0000284_crop_0000002.png,2,0
image_0000296_crop_0000001.png,1,1
image_0000296_crop_0000001.png,2,1
image_0000296_crop_0000004.png,1,1
image_0000296_crop_0000004.png,2,1
image_0000296_crop_0000005.png,1,1
image_0000296_crop_0000005.png,2,1
image_0000316_crop_0000002.png,1,1
image_0000316_crop_0000002.png,2,1
image_0000316_crop_0000002.png,3,1
image_0000316_crop_0000002.png,4,1
image_0000316_crop_0000002.png,5,1
image_0000317_crop_0000003.png,1,1
image_0000317_crop_0000003.png,2,1
image_0000323_crop_0000001.png,1,0
image_0000323_crop_0000001.png,2,0
image_0000323_crop_0000001.png,3,0
image_0000328_crop_0000002.png,1,1
image_0000328_crop_0000002.png,2,1
image_0000328_crop_0000002.png,3,1
image_0000328_crop_0000002.png,4,1
image_0000328_crop_0000002.png,5,1
image_0000337_crop_0000001.png,1,1
image_0000337_crop_0000001.png,2,1
image_0000337_crop_0000002.png,1,1
image_0000337_crop_0000002.png,2,1
image_0000337_crop_0000002.png,3,1
image_0000338_crop_0000001.png,1,1
image_0000338_crop_0000001.png,2,0
image_0000340_crop_0000001.png,1,1
image_0000340_crop_0000001.png,2,1
image_0000340_crop_0000002.png,1,1
image_0000340_crop_0000002.png,2,1
image_0000340_crop_0000002.png,3,1
image_0000351_crop_0000001.png,1,0
image_0000351_crop_0000001.png,2,0
image_0000351_crop_0000002.png,1,1
image_0000351_crop_0000002.png,2,1
image_0000351_crop_0000002.png,3,1
image_0000351_crop_0000003.png,1,0
image_0000351_crop_0000003.png,2,0
image_0000352_crop_0000001.png,1,1
image_0000352_crop_0000001.png,2,1
image_0000355_crop_0000003.png,1,0
image_0000355_crop_0000003.png,2,0
image_0000356_crop_0000002.png,1,1
image_0000356_crop_0000002.png,2,1
image_0000356_crop_0000004.png,1,1
image_0000356_crop_0000004.png,2,1
image_0000356_crop_0000004.png,3,1
image_0000364_crop_0000001.png,1,1
image_0000364_crop_0000001.png,2,1
image_0000364_crop_0000002.png,1,1
image_0000364_crop_0000002.png,2,0
image_0000364_crop_0000004.png,1,1
image_0000364_crop_0000004.png,2,1
image_0000364_crop_0000004.png,3,1
image_0000367_crop_0000001.png,1,1
image_0000367_crop_0000001.png,2,1
image_0000369_crop_0000002.png,1,1
image_0000369_crop_0000002.png,2,1
image_0000369_crop_0000002.png,3,1
image_0000380_crop_0000001.png,1,0
image_0000380_crop_0000001.png,2,1
image_0000380_crop_0000001.png,3,1
image_0000380_crop_0000003.png,1,1
image_0000380_crop_0000003.png,2,1
image_0000380_crop_0000003.png,3,0
image_0000380_crop_0000005.png,1,1
image_0000380_crop_0000005.png,2,0
image_0000380_crop_0000006.png,1,0
